Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
57.8941156,42.23137898,-70.96960112,1245.07089,1216.005859,113.1500015,197.6999969,6.608711509,3.790092468,3.218853235,25
58.9004081,42.23040021,-70.96999756,1236.846061,1207.77832,113.1399994,197.6999969,6.721576363,3.790092468,3.275636196,25
59.89683008,42.22943268,-70.97041195,1230.387326,1201.316895,113.0999985,197.8000031,6.83498974,3.790092468,3.471722364,25
60.90020503,42.2284607,-70.97082942,1223.72426,1194.651123,113.1399994,197.8000031,6.947842613,3.790092468,3.238636732,25
61.89693461,42.22749289,-70.97124212,1217.452659,1188.376831,113.0800018,197.8999939,7.061229207,3.790092468,2.99887538,24
62.90088076,42.22652514,-70.9716761,1210.215738,1181.137207,113.0599976,197.8000031,7.174216954,9.935046196,2.961691856,25
63.9003092,42.22555633,-70.97208995,1203.67046,1174.589233,113.0199966,197.8000031,7.287171108,9.935046196,3.065689564,26
64.89729706,42.2245867,-70.97249891,1197.747007,1168.663086,113.0299988,197.8000031,7.400364718,9.935046196,2.955389977,26
65.88895117,42.22361696,-70.97291705,1191.228834,1162.142212,112.9599991,197.8000031,7.513257033,9.935046196,2.92783761,25
66.89705919,42.22265058,-70.97333735,1185.0743,1155.984985,112.9599991,197.8000031,7.62626811,9.935046196,2.825717926,26
67.89968404,42.22168297,-70.97375719,1178.143281,1149.05127,112.9899979,197.6999969,7.73922646,9.935046196,2.722428083,26
68.89941247,42.22071495,-70.97417319,1171.56663,1142.471924,112.8499985,197.8000031,7.852023897,9.935046196,2.568277121,26
69.90721862,42.21974718,-70.97458377,1164.784898,1135.6875,112.8600006,197.8000031,7.964940156,9.935046196,2.543172836,25
70.89641831,42.21877982,-70.97500087,1158.666499,1129.566406,112.8600006,197.6999969,8.078289355,9.935046196,2.5,25
71.89985169,42.21781001,-70.97542485,1151.961929,1122.859131,112.7799988,197.8000031,8.191559638,9.935046196,2.5,26
72.89925779,42.21683886,-70.97584003,1144.838412,1115.73291,112.8099976,197.6999969,8.304595328,9.935046196,2.5,26
73.90316726,42.215868,-70.97624693,1137.934006,1108.825806,112.7600021,197.6000061,8.41760131,9.935046196,2.5,26
74.89828393,42.21489941,-70.97666238,1131.645933,1102.535034,112.6999969,197.6000061,8.530592582,9.935046196,2.5,26
75.90338831,42.21393073,-70.97707685,1125.470652,1096.357056,112.7200012,197.6999969,8.643509241,9.935046196,2.5,26
76.90274659,42.21296399,-70.97749654,1118.521321,1089.405029,112.6299973,197.6000061,8.755845335,9.935046196,2.5,26
77.89711096,42.21200094,-70.97790865,1110.943071,1081.824097,112.6399994,197.6000061,8.868661901,9.935046196,2.5,26
78.9001632,42.21103243,-70.97831676,1104.349452,1075.227783,112.5999985,197.6000061,8.981095601,9.935046196,2.5,26
79.8960907,42.21006778,-70.97872595,1098.347133,1069.222778,112.5299988,197.6000061,9.093836947,9.935046196,2.5,25
80.89849315,42.20910105,-70.97913865,1092.401461,1063.274414,112.4899979,197.6999969,9.206341536,9.935046196,2.5,26
81.89863487,42.20813525,-70.97954575,1086.877538,1057.747803,112.4100037,197.6000061,9.319038719,9.935046196,2.5,26
82.89638705,42.2071681,-70.97995485,1081.111309,1051.978882,112.2799988,197.6000061,9.431023144,9.935046196,2.5,26
83.90668856,42.20620821,-70.98036625,1076.478853,1047.34375,112.0599976,197.6000061,9.543253381,9.935046196,2.5,26
84.89963382,42.20524585,-70.980777,1071.883267,1042.745483,111.9599991,197.5,9.655255772,9.935046196,2.5,26
85.90323585,42.20428528,-70.98118621,1067.661334,1038.520874,111.7399979,197.6999969,9.7668338,9.935046196,2.5,26
86.90384689,42.20333006,-70.98160111,1063.948424,1034.805298,111.5199966,197.6000061,9.878282874,9.935046196,2.5,26
87.89688929,42.20237422,-70.98200822,1059.878456,1030.732666,111.2600021,197.6999969,9.990015662,9.935046196,2.5,26
88.89889752,42.20141608,-70.98241693,1055.958763,1026.810303,111.0699997,197.6000061,10.1004704,9.935046196,2.5,26
