N+3 T140
   0.1510605     -0.6016929E-01
   0.1664308     -0.6174441E-01
   0.1820649     -0.6315511E-01
   0.1978961     -0.6441063E-01
   0.2138756     -0.6552039E-01
   0.2299683     -0.6649247E-01
   0.2461484     -0.6733437E-01
   0.2623969     -0.6805212E-01
   0.2787001     -0.6865120E-01
   0.2950461     -0.6913633E-01
   0.3114257     -0.6951104E-01
   0.3278314     -0.6977852E-01
   0.3442562     -0.6994104E-01
   0.3606948     -0.7000016E-01
   0.3771424     -0.6995731E-01
   0.3935948     -0.6981308E-01
   0.4100490     -0.6956782E-01
   0.4265020     -0.6922179E-01
   0.4429512     -0.6877465E-01
   0.4593950     -0.6822603E-01
   0.4758316     -0.6757555E-01
   0.4922597     -0.6682235E-01
   0.5086786     -0.6596578E-01
   0.5250873     -0.6500517E-01
   0.5414856     -0.6393956E-01
   0.5578737     -0.6276829E-01
   0.5742512     -0.6149075E-01
   0.5906189     -0.6010613E-01
   0.6069778     -0.5861402E-01
   0.6233289     -0.5701407E-01
   0.6396744     -0.5530598E-01
   0.6560167     -0.5348996E-01
   0.6723588     -0.5156640E-01
   0.6887049     -0.4953595E-01
   0.7050600     -0.4739990E-01
   0.7214304     -0.4515984E-01
   0.7378248     -0.4281797E-01
   0.7542539     -0.4037744E-01
   0.7707313     -0.3784265E-01
   0.7872713     -0.3522077E-01
   0.8038854     -0.3252182E-01
   0.8205795     -0.2975871E-01
   0.8373486     -0.2694832E-01
   0.8541653     -0.2411275E-01
   0.8709641     -0.2128208E-01
   0.8876800     -0.1848618E-01
   0.9042711     -0.1574983E-01
   0.9206891     -0.1309471E-01
   0.9368338     -0.1054164E-01
   0.9524630     -0.8104919E-02
   0.9671078     -0.5807515E-02
   0.9802755     -0.3708479E-02
   0.9916390     -0.1866591E-02
    1.000000     -0.5015075E-03
